A=13 | B=7 | Sel=6 | Result=-6
A=13 | B=8 | Sel=6 | Result=-9
A=13 | B=9 | Sel=6 | Result=-10
A=13 | B=10 | Sel=6 | Result=-9
A=13 | B=11 | Sel=6 | Result=-10
A=13 | B=12 | Sel=6 | Result=-13
A=13 | B=13 | Sel=6 | Result=-14
A=13 | B=14 | Sel=6 | Result=-13
A=13 | B=15 | Sel=6 | Result=-14
A=14 | B=0 | Sel=6 | Result=-1
A=14 | B=1 | Sel=6 | Result=-1
A=14 | B=2 | Sel=6 | Result=-3
A=14 | B=3 | Sel=6 | Result=-3
A=14 | B=4 | Sel=6 | Result=-5
A=14 | B=5 | Sel=6 | Result=-5
A=14 | B=6 | Sel=6 | Result=-7
A=14 | B=7 | Sel=6 | Result=-7
A=14 | B=8 | Sel=6 | Result=-9
A=14 | B=9 | Sel=6 | Result=-9
A=14 | B=10 | Sel=6 | Result=-11
A=14 | B=11 | Sel=6 | Result=-11
A=14 | B=12 | Sel=6 | Result=-13
A=14 | B=13 | Sel=6 | Result=-13
A=14 | B=14 | Sel=6 | Result=-15
A=14 | B=15 | Sel=6 | Result=-15
A=15 | B=0 | Sel=6 | Result=-1
A=15 | B=1 | Sel=6 | Result=-2
A=15 | B=2 | Sel=6 | Result=-3
A=15 | B=3 | Sel=6 | Result=-4
A=15 | B=4 | Sel=6 | Result=-5
A=15 | B=5 | Sel=6 | Result=-6
A=15 | B=6 | Sel=6 | Result=-7
A=15 | B=7 | Sel=6 | Result=-8
A=15 | B=8 | Sel=6 | Result=-9
A=15 | B=9 | Sel=6 | Result=-10
A=15 | B=10 | Sel=6 | Result=-11
A=15 | B=11 | Sel=6 | Result=-12
A=15 | B=12 | Sel=6 | Result=-13
A=15 | B=13 | Sel=6 | Result=-14
A=15 | B=14 | Sel=6 | Result=-15
A=15 | B=15 | Sel=6 | Result=-16
A=10 | B=0 | Sel=7 | Result=-11
A=10 | B=1 | Sel=7 | Result=-12
A=10 | B=2 | Sel=7 | Result=-11
A=10 | B=3 | Sel=7 | Result=-12
A=10 | B=4 | Sel=7 | Result=-15
A=10 | B=5 | Sel=7 | Result=-16
A=10 | B=6 | Sel=7 | Result=-15
A=10 | B=7 | Sel=7 | Result=-16
A=10 | B=8 | Sel=7 | Result=-11
A=10 | B=9 | Sel=7 | Result=-12
A=10 | B=10 | Sel=7 | Result=-11
A=10 | B=11 | Sel=7 | Result=-12
A=10 | B=12 | Sel=7 | Result=-15
A=10 | B=13 | Sel=7 | Result=-16
A=10 | B=14 | Sel=7 | Result=-15
A=10 | B=15 | Sel=7 | Result=-16
A=11 | B=0 | Sel=7 | Result=-12
A=11 | B=1 | Sel=7 | Result=-12
A=11 | B=2 | Sel=7 | Result=-12
A=11 | B=3 | Sel=7 | Result=-12
A=11 | B=4 | Sel=7 | Result=-16
A=11 | B=5 | Sel=7 | Result=-16
A=11 | B=6 | Sel=7 | Result=-16
A=11 | B=7 | Sel=7 | Result=-16
A=11 | B=8 | Sel=7 | Result=-12
A=11 | B=9 | Sel=7 | Result=-12
A=11 | B=10 | Sel=7 | Result=-12
A=11 | B=11 | Sel=7 | Result=-12
A=11 | B=12 | Sel=7 | Result=-16
A=11 | B=13 | Sel=7 | Result=-16
A=11 | B=14 | Sel=7 | Result=-16
A=11 | B=15 | Sel=7 | Result=-16
A=12 | B=0 | Sel=7 | Result=-13
A=12 | B=1 | Sel=7 | Result=-14
A=12 | B=2 | Sel=7 | Result=-15
A=12 | B=3 | Sel=7 | Result=-16
A=12 | B=4 | Sel=7 | Result=-13
A=12 | B=5 | Sel=7 | Result=-14
A=12 | B=6 | Sel=7 | Result=-15
A=12 | B=7 | Sel=7 | Result=-16
A=12 | B=8 | Sel=7 | Result=-13
A=12 | B=9 | Sel=7 | Result=-14
A=12 | B=10 | Sel=7 | Result=-15
A=12 | B=11 | Sel=7 | Result=-16
A=12 | B=12 | Sel=7 | Result=-13
A=12 | B=13 | Sel=7 | Result=-14
A=12 | B=14 | Sel=7 | Result=-15
A=12 | B=15 | Sel=7 | Result=-16
A=13 | B=0 | Sel=7 | Result=-14
A=13 | B=1 | Sel=7 | Result=-14
A=13 | B=2 | Sel=7 | Result=-16
A=13 | B=3 | Sel=7 | Result=-16
A=13 | B=4 | Sel=7 | Result=-14
A=13 | B=5 | Sel=7 | Result=-14
A=13 | B=6 | Sel=7 | Result=-16
A=13 | B=7 | Sel=7 | Result=-16
A=13 | B=8 | Sel=7 | Result=-14
A=13 | B=9 | Sel=7 | Result=-14
A=13 | B=10 | Sel=7 | Result=-16
A=13 | B=11 | Sel=7 | Result=-16
A=13 | B=12 | Sel=7 | Result=-14
A=13 | B=13 | Sel=7 | Result=-14
A=13 | B=14 | Sel=7 | Result=-16
A=13 | B=15 | Sel=7 | Result=-16
A=14 | B=0 | Sel=7 | Result=-15
A=14 | B=1 | Sel=7 | Result=-16
A=14 | B=2 | Sel=7 | Result=-15
A=14 | B=3 | Sel=7 | Result=-16
A=14 | B=4 | Sel=7 | Result=-15
A=14 | B=5 | Sel=7 | Result=-16
A=14 | B=6 | Sel=7 | Result=-15
A=14 | B=7 | Sel=7 | Result=-16
A=14 | B=8 | Sel=7 | Result=-15
A=14 | B=9 | Sel=7 | Result=-16
A=14 | B=10 | Sel=7 | Result=-15
A=14 | B=11 | Sel=7 | Result=-16
A=14 | B=12 | Sel=7 | Result=-15
A=14 | B=13 | Sel=7 | Result=-16
A=14 | B=14 | Sel=7 | Result=-15
A=14 | B=15 | Sel=7 | Result=-16
A=15 | B=0 | Sel=7 | Result=-16
A=15 | B=1 | Sel=7 | Result=-16
A=15 | B=2 | Sel=7 | Result=-16
A=15 | B=3 | Sel=7 | Result=-16
A=15 | B=4 | Sel=7 | Result=-16
A=15 | B=5 | Sel=7 | Result=-16
A=15 | B=6 | Sel=7 | Result=-16
A=15 | B=7 | Sel=7 | Result=-16
A=15 | B=8 | Sel=7 | Result=-16
A=15 | B=9 | Sel=7 | Result=-16
A=15 | B=10 | Sel=7 | Result=-16
A=15 | B=11 | Sel=7 | Result=-16
A=15 | B=12 | Sel=7 | Result=-16
A=15 | B=13 | Sel=7 | Result=-16
A=15 | B=14 | Sel=7 | Result=-16
A=15 | B=15 | Sel=7 | Result=-16
A=10 | B=0 | Sel=8 | Result=10
A=10 | B=1 | Sel=8 | Result=11
A=10 | B=2 | Sel=8 | Result=8
A=10 | B=3 | Sel=8 | Result=9
A=10 | B=4 | Sel=8 | Result=14
A=10 | B=5 | Sel=8 | Result=15
A=10 | B=6 | Sel=8 | Result=12
A=10 | B=7 | Sel=8 | Result=13
A=10 | B=8 | Sel=8 | Result=2
A=10 | B=9 | Sel=8 | Result=3
A=10 | B=10 | Sel=8 | Result=0
A=10 | B=11 | Sel=8 | Result=1
A=10 | B=12 | Sel=8 | Result=6
A=10 | B=13 | Sel=8 | Result=7
A=10 | B=14 | Sel=8 | Result=4
A=10 | B=15 | Sel=8 | Result=5
A=11 | B=0 | Sel=8 | Result=11
A=11 | B=1 | Sel=8 | Result=10
A=11 | B=2 | Sel=8 | Result=9
A=11 | B=3 | Sel=8 | Result=8
A=11 | B=4 | Sel=8 | Result=15
A=11 | B=5 | Sel=8 | Result=14
A=11 | B=6 | Sel=8 | Result=13
A=11 | B=7 | Sel=8 | Result=12
A=11 | B=8 | Sel=8 | Result=3
A=11 | B=9 | Sel=8 | Result=2
A=11 | B=10 | Sel=8 | Result=1
A=11 | B=11 | Sel=8 | Result=0
A=11 | B=12 | Sel=8 | Result=7
A=11 | B=13 | Sel=8 | Result=6
A=11 | B=14 | Sel=8 | Result=5
A=11 | B=15 | Sel=8 | Result=4
A=12 | B=0 | Sel=8 | Result=12
A=12 | B=1 | Sel=8 | Result=13
A=12 | B=2 | Sel=8 | Result=14
A=12 | B=3 | Sel=8 | Result=15
A=12 | B=4 | Sel=8 | Result=8
A=12 | B=5 | Sel=8 | Result=9
A=12 | B=6 | Sel=8 | Result=10
A=12 | B=7 | Sel=8 | Result=11
A=12 | B=8 | Sel=8 | Result=4
A=12 | B=9 | Sel=8 | Result=5
A=12 | B=10 | Sel=8 | Result=6
A=12 | B=11 | Sel=8 | Result=7
A=12 | B=12 | Sel=8 | Result=0
A=12 | B=13 | Sel=8 | Result=1
A=12 | B=14 | Sel=8 | Result=2
A=12 | B=15 | Sel=8 | Result=3
A=13 | B=0 | Sel=8 | Result=13
A=13 | B=1 | Sel=8 | Result=12
A=13 | B=2 | Sel=8 | Result=15
A=13 | B=3 | Sel=8 | Result=14
A=13 | B=4 | Sel=8 | Result=9
A=13 | B=5 | Sel=8 | Result=8
A=13 | B=6 | Sel=8 | Result=11
A=13 | B=7 | Sel=8 | Result=10
A=13 | B=8 | Sel=8 | Result=5
A=13 | B=9 | Sel=8 | Result=4
A=13 | B=10 | Sel=8 | Result=7
A=13 | B=11 | Sel=8 | Result=6
A=13 | B=12 | Sel=8 | Result=1
A=13 | B=13 | Sel=8 | Result=0
A=13 | B=14 | Sel=8 | Result=3
A=13 | B=15 | Sel=8 | Result=2
A=14 | B=0 | Sel=8 | Result=14
A=14 | B=1 | Sel=8 | Result=15
A=14 | B=2 | Sel=8 | Result=12
A=14 | B=3 | Sel=8 | Result=13
A=14 | B=4 | Sel=8 | Result=10
A=14 | B=5 | Sel=8 | Result=11
A=14 | B=6 | Sel=8 | Result=8
A=14 | B=7 | Sel=8 | Result=9
A=14 | B=8 | Sel=8 | Result=6
A=14 | B=9 | Sel=8 | Result=7
A=14 | B=10 | Sel=8 | Result=4
A=14 | B=11 | Sel=8 | Result=5
A=14 | B=12 | Sel=8 | Result=2
A=14 | B=13 | Sel=8 | Result=3
A=14 | B=14 | Sel=8 | Result=0
A=14 | B=15 | Sel=8 | Result=1
A=15 | B=0 | Sel=8 | Result=15
A=15 | B=1 | Sel=8 | Result=14
A=15 | B=2 | Sel=8 | Result=13
A=15 | B=3 | Sel=8 | Result=12
A=15 | B=4 | Sel=8 | Result=11
A=15 | B=5 | Sel=8 | Result=10
A=15 | B=6 | Sel=8 | Result=9
A=15 | B=7 | Sel=8 | Result=8
A=15 | B=8 | Sel=8 | Result=7
A=15 | B=9 | Sel=8 | Result=6
A=15 | B=10 | Sel=8 | Result=5
A=15 | B=11 | Sel=8 | Result=4
A=15 | B=12 | Sel=8 | Result=3
A=15 | B=13 | Sel=8 | Result=2
A=15 | B=14 | Sel=8 | Result=1
A=15 | B=15 | Sel=8 | Result=0
A=10 | B=0 | Sel=9 | Result=-11
A=10 | B=1 | Sel=9 | Result=-12
A=10 | B=2 | Sel=9 | Result=-9
A=10 | B=3 | Sel=9 | Result=-10
A=10 | B=4 | Sel=9 | Result=-15
A=10 | B=5 | Sel=9 | Result=-16
A=10 | B=6 | Sel=9 | Result=-13
A=10 | B=7 | Sel=9 | Result=-14
A=10 | B=8 | Sel=9 | Result=-3
A=10 | B=9 | Sel=9 | Result=-4
A=10 | B=10 | Sel=9 | Result=-1
A=10 | B=11 | Sel=9 | Result=-2
A=10 | B=12 | Sel=9 | Result=-7
A=10 | B=13 | Sel=9 | Result=-8
A=10 | B=14 | Sel=9 | Result=-5
A=10 | B=15 | Sel=9 | Result=-6
A=11 | B=0 | Sel=9 | Result=-12
A=11 | B=1 | Sel=9 | Result=-11
A=11 | B=2 | Sel=9 | Result=-10
A=11 | B=3 | Sel=9 | Result=-9
A=11 | B=4 | Sel=9 | Result=-16
A=11 | B=5 | Sel=9 | Result=-15
A=11 | B=6 | Sel=9 | Result=-14
A=11 | B=7 | Sel=9 | Result=-13
A=11 | B=8 | Sel=9 | Result=-4
A=11 | B=9 | Sel=9 | Result=-3
A=11 | B=10 | Sel=9 | Result=-2
A=11 | B=11 | Sel=9 | Result=-1
A=11 | B=12 | Sel=9 | Result=-8
A=11 | B=13 | Sel=9 | Result=-7
A=11 | B=14 | Sel=9 | Result=-6
A=11 | B=15 | Sel=9 | Result=-5
A=12 | B=0 | Sel=9 | Result=-13
A=12 | B=1 | Sel=9 | Result=-14
A=12 | B=2 | Sel=9 | Result=-15
A=12 | B=3 | Sel=9 | Result=-16
A=12 | B=4 | Sel=9 | Result=-9
A=12 | B=5 | Sel=9 | Result=-10
A=12 | B=6 | Sel=9 | Result=-11
A=12 | B=7 | Sel=9 | Result=-12
A=12 | B=8 | Sel=9 | Result=-5
A=12 | B=9 | Sel=9 | Result=-6
A=12 | B=10 | Sel=9 | Result=-7
A=12 | B=11 | Sel=9 | Result=-8
A=12 | B=12 | Sel=9 | Result=-1
A=12 | B=13 | Sel=9 | Result=-2
A=12 | B=14 | Sel=9 | Result=-3
A=12 | B=15 | Sel=9 | Result=-4
A=13 | B=0 | Sel=9 | Result=-14
A=13 | B=1 | Sel=9 | Result=-13
A=13 | B=2 | Sel=9 | Result=-16
A=13 | B=3 | Sel=9 | Result=-15
A=13 | B=4 | Sel=9 | Result=-10
A=13 | B=5 | Sel=9 | Result=-9
A=13 | B=6 | Sel=9 | Result=-12
A=13 | B=7 | Sel=9 | Result=-11
A=13 | B=8 | Sel=9 | Result=-6
A=13 | B=9 | Sel=9 | Result=-5
A=13 | B=10 | Sel=9 | Result=-8
A=13 | B=11 | Sel=9 | Result=-7
A=13 | B=12 | Sel=9 | Result=-2
A=13 | B=13 | Sel=9 | Result=-1
A=13 | B=14 | Sel=9 | Result=-4
A=13 | B=15 | Sel=9 | Result=-3
A=14 | B=0 | Sel=9 | Result=-15
A=14 | B=1 | Sel=9 | Result=-16
A=14 | B=2 | Sel=9 | Result=-13
A=14 | B=3 | Sel=9 | Result=-14
A=14 | B=4 | Sel=9 | Result=-11
A=14 | B=5 | Sel=9 | Result=-12
A=14 | B=6 | Sel=9 | Result=-9
A=14 | B=7 | Sel=9 | Result=-10
A=14 | B=8 | Sel=9 | Result=-7
A=14 | B=9 | Sel=9 | Result=-8
A=14 | B=10 | Sel=9 | Result=-5
A=14 | B=11 | Sel=9 | Result=-6
A=14 | B=12 | Sel=9 | Result=-3
A=14 | B=13 | Sel=9 | Result=-4
A=14 | B=14 | Sel=9 | Result=-1
A=14 | B=15 | Sel=9 | Result=-2
A=15 | B=0 | Sel=9 | Result=-16
A=15 | B=1 | Sel=9 | Result=-15
A=15 | B=2 | Sel=9 | Result=-14
A=15 | B=3 | Sel=9 | Result=-13
A=15 | B=4 | Sel=9 | Result=-12
A=15 | B=5 | Sel=9 | Result=-11
A=15 | B=6 | Sel=9 | Result=-10
A=15 | B=7 | Sel=9 | Result=-9
A=15 | B=8 | Sel=9 | Result=-8
A=15 | B=9 | Sel=9 | Result=-7
A=15 | B=10 | Sel=9 | Result=-6
A=15 | B=11 | Sel=9 | Result=-5
A=15 | B=12 | Sel=9 | Result=-4
A=15 | B=13 | Sel=9 | Result=-3
A=15 | B=14 | Sel=9 | Result=-2
A=15 | B=15 | Sel=9 | Result=-1
